StartTime: 2019-07-17 21:56:13.657
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	22:24:57.414	0.0015	-0.0020	0.9980	0.0000	0.0000	0.0000	0.0220	0.0000	0.0494	27.2100	-1012	3065	-1378 
0x50	22:24:57.414	0.0010	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3065	-1379 
0x50	22:24:57.414	0.0010	0.0010	1.0010	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.414	0.0015	0.0000	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.1500	-1012	3065	-1379 
0x50	22:24:57.414	0.0015	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3065	-1379 
0x50	22:24:57.414	0.0015	0.0000	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.1500	-1012	3066	-1379 
0x50	22:24:57.414	0.0010	0.0010	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.414	0.0024	0.0000	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.414	0.0015	0.0000	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.414	0.0029	-0.0015	1.0010	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.414	0.0029	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2600	-1012	3066	-1378 
0x50	22:24:57.414	0.0039	-0.0029	1.0010	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.414	0.0029	-0.0034	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.414	0.0039	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.415	0.0029	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.421	0.0044	-0.0029	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.425	0.0044	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.430	0.0044	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.435	0.0044	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.440	0.0044	-0.0029	0.9990	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.445	0.0044	-0.0015	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3065	-1379 
0x50	22:24:57.450	0.0054	-0.0005	0.9980	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2600	-1012	3065	-1379 
0x50	22:24:57.454	0.0044	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3065	-1379 
0x50	22:24:57.461	0.0054	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3065	-1379 
0x50	22:24:57.483	0.0059	-0.0020	1.0020	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3065	-1378 
0x50	22:24:57.483	0.0059	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2600	-1012	3065	-1378 
0x50	22:24:57.483	0.0054	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1012	3066	-1378 
0x50	22:24:57.483	0.0054	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1012	3065	-1378 
0x50	22:24:57.486	0.0054	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1013	3065	-1379 
0x50	22:24:57.490	0.0029	-0.0015	0.9980	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1013	3065	-1379 
0x50	22:24:57.495	0.0024	-0.0029	0.9990	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1013	3066	-1379 
0x50	22:24:57.499	0.0024	-0.0020	0.9980	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1013	3066	-1379 
0x50	22:24:57.505	0.0015	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.509	0.0010	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.515	0.0015	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0275	-0.0055	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.519	0.0010	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1379 
0x50	22:24:57.525	0.0024	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1013	3066	-1378 
0x50	22:24:57.529	0.0010	-0.0034	0.9980	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1378 
0x50	22:24:57.536	0.0015	-0.0034	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0494	27.2100	-1012	3066	-1378 
0x50	22:24:57.540	0.0000	-0.0029	1.0010	0.0000	0.0000	0.0000	0.0220	0.0000	0.0494	27.2600	-1012	3066	-1378 
0x50	22:24:57.545	-0.0010	-0.0029	1.0005	0.0000	0.0000	0.0000	0.0220	0.0000	0.0494	27.2100	-1012	3066	-1378 
0x50	22:24:57.550	-0.0010	-0.0029	1.0010	0.0000	0.0000	0.0000	0.0220	0.0000	0.0494	27.2100	-1012	3066	-1378 
0x50	22:24:57.554	0.0000	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2100	-1012	3066	-1378 
0x50	22:24:57.560	-0.0010	-0.0015	0.9980	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2100	-1012	3066	-1378 
0x50	22:24:57.564	0.0010	0.0000	1.0010	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2100	-1012	3066	-1377 
0x50	22:24:57.570	-0.0010	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2100	-1012	3066	-1378 
0x50	22:24:57.574	-0.0010	0.0010	1.0010	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2100	-1012	3066	-1378 
0x50	22:24:57.581	0.0010	0.0000	1.0010	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2100	-1013	3066	-1378 
0x50	22:24:57.585	0.0010	0.0000	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2100	-1013	3066	-1378 
0x50	22:24:57.589	0.0024	0.0000	1.0010	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2600	-1012	3066	-1378 
0x50	22:24:57.595	0.0029	-0.0005	0.9990	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2100	-1012	3066	-1378 
0x50	22:24:57.600	0.0039	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2100	-1012	3066	-1378 
0x50	22:24:57.604	0.0044	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2600	-1012	3066	-1379 
0x50	22:24:57.610	0.0044	-0.0034	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2100	-1012	3066	-1379 
0x50	22:24:57.614	0.0059	-0.0034	0.9980	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2100	-1012	3066	-1379 
0x50	22:24:57.620	0.0044	-0.0044	0.9995	0.0000	0.0000	0.0000	0.0275	0.0000	0.0439	27.2100	-1012	3066	-1379 
0x50	22:24:57.624	0.0044	-0.0049	0.9995	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2600	-1012	3066	-1379 
0x50	22:24:57.630	0.0024	-0.0034	1.0005	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2100	-1012	3066	-1379 
0x50	22:24:57.634	0.0044	-0.0044	1.0010	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2100	-1012	3066	-1379 
0x50	22:24:57.663	0.0068	-0.0049	0.9995	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2100	-1012	3066	-1379 
0x50	22:24:57.663	0.0054	-0.0044	0.9995	0.0000	0.0000	0.0000	0.0220	0.0000	0.0439	27.2100	-1012	3066	-1378 
