StartTime: 2020-01-20 17:24:36.559
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	17:54:51.430	0.0020	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2415	921	-1263 
0x50	17:54:51.437	0.0029	0.0000	0.9980	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.441	0.0034	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.447	0.0029	0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.451	0.0029	0.0015	1.0015	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2415	921	-1264 
0x50	17:54:51.457	0.0020	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.461	0.0020	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.466	0.0029	0.0000	1.0015	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.471	0.0044	0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.475	0.0044	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2416	921	-1264 
0x50	17:54:51.482	0.0034	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2416	921	-1265 
0x50	17:54:51.501	0.0034	0.0005	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2416	921	-1264 
0x50	17:54:51.501	0.0034	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2415	921	-1264 
0x50	17:54:51.501	0.0015	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.501	0.0005	-0.0010	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.505	0.0020	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.512	0.0020	-0.0010	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2415	921	-1263 
0x50	17:54:51.515	0.0015	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2416	921	-1264 
0x50	17:54:51.522	0.0020	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.526	0.0029	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.532	0.0029	-0.0010	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1263 
0x50	17:54:51.535	0.0020	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.542	0.0029	-0.0015	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	922	-1264 
0x50	17:54:51.547	0.0020	-0.0010	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.550	0.0020	-0.0015	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1263 
0x50	17:54:51.557	0.0029	-0.0015	0.9980	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.560	0.0034	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.567	0.0034	-0.0010	0.9990	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	28.9500	2416	921	-1264 
0x50	17:54:51.571	0.0034	-0.0010	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2416	921	-1264 
0x50	17:54:51.577	0.0034	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2416	921	-1264 
0x50	17:54:51.581	0.0020	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2416	921	-1264 
0x50	17:54:51.587	0.0015	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	-0.0165	29.0100	2416	921	-1264 
