StartTime: 2019-08-06 07:18:46.944
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	07:27:53.505	0.0005	0.0015	0.9985	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.515	0.0000	0.0024	1.0000	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.525	-0.0010	-0.0005	0.9985	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.535	-0.0015	-0.0005	1.0000	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.545	0.0000	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.555	0.0015	0.0010	1.0000	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.565	0.0005	0.0015	1.0024	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.574	0.0000	0.0029	1.0024	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.585	-0.0015	0.0044	1.0015	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.594	-0.0034	0.0029	1.0010	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2911	-1283 
0x50	07:27:53.618	-0.0049	0.0010	0.9980	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-945	2911	-1283 
0x50	07:27:53.618	-0.0024	0.0010	1.0039	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-945	2911	-1284 
0x50	07:27:53.624	-0.0015	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2912	-1284 
0x50	07:27:53.634	-0.0010	-0.0015	0.9980	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2912	-1284 
0x50	07:27:53.644	-0.0015	-0.0005	0.9985	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2912	-1284 
0x50	07:27:53.653	0.0000	0.0010	0.9995	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3000	-944	2912	-1284 
0x50	07:27:53.664	0.0015	0.0010	0.9995	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3000	-944	2912	-1284 
0x50	07:27:53.674	0.0029	0.0010	1.0000	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2912	-1284 
0x50	07:27:53.684	0.0015	-0.0015	0.9995	0.0000	0.0000	0.0000	0.0165	0.0110	0.0000	24.3500	-944	2912	-1283 
0x50	07:27:53.694	0.0015	-0.0034	0.9995	0.0000	0.0000	0.0000	0.0110	0.0055	0.0000	24.3500	-944	2912	-1283 
0x50	07:27:53.704	0.0015	-0.0034	0.9971	0.0000	0.0000	0.0000	0.0110	0.0055	0.0000	24.3500	-944	2912	-1284 
0x50	07:27:53.714	0.0000	-0.0015	0.9980	0.0000	0.0000	0.0000	0.0110	0.0055	0.0000	24.3500	-944	2912	-1284 
0x50	07:27:53.723	-0.0010	0.0000	1.0015	0.0000	0.0000	0.0000	0.0110	0.0055	0.0000	24.3500	-944	2912	-1284 
0x50	07:27:53.734	-0.0015	0.0024	1.0015	0.0000	0.0000	0.0000	0.0110	0.0055	0.0000	24.3500	-944	2912	-1284 
0x50	07:27:53.744	-0.0034	0.0029	1.0000	0.0000	0.0000	0.0000	0.0110	0.0110	0.0000	24.3500	-944	2912	-1284 
