StartTime: 2019-08-06 07:18:46.944
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	07:22:04.713	0.0000	0.0010	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-984	2892	-1280 
0x50	07:22:04.713	-0.0010	-0.0015	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-984	2892	-1280 
0x50	07:22:04.713	-0.0010	-0.0029	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-984	2892	-1280 
0x50	07:22:04.713	-0.0034	-0.0029	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1280 
0x50	07:22:04.713	0.0015	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-984	2892	-1279 
0x50	07:22:04.713	0.0000	0.0024	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-984	2892	-1279 
0x50	07:22:04.720	-0.0015	0.0044	1.0059	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-984	2892	-1279 
0x50	07:22:04.729	-0.0024	0.0044	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-984	2892	-1279 
0x50	07:22:04.739	0.0000	0.0039	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1279 
0x50	07:22:04.749	0.0015	0.0015	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-984	2892	-1279 
0x50	07:22:04.760	0.0029	-0.0015	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1279 
0x50	07:22:04.781	0.0015	-0.0029	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1279 
0x50	07:22:04.781	0.0005	-0.0034	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-983	2892	-1279 
0x50	07:22:04.789	0.0000	-0.0020	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2893	-1279 
0x50	07:22:04.799	0.0000	-0.0005	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-983	2893	-1279 
0x50	07:22:04.809	0.0000	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-983	2893	-1278 
0x50	07:22:04.819	0.0005	0.0024	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2893	-1278 
0x50	07:22:04.829	-0.0063	0.0098	0.9956	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2893	-1278 
0x50	07:22:04.840	-0.0034	0.0054	0.9961	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-983	2892	-1278 
0x50	07:22:04.850	0.0005	0.0015	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1278 
0x50	07:22:04.860	0.0020	-0.0034	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-983	2892	-1278 
0x50	07:22:04.870	0.0044	-0.0063	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-983	2893	-1277 
0x50	07:22:04.880	0.0049	-0.0068	0.9971	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1276 
0x50	07:22:04.889	0.0020	-0.0020	0.9971	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-982	2892	-1276 
0x50	07:22:04.899	0.0005	0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1276 
0x50	07:22:04.910	-0.0010	0.0029	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1276 
0x50	07:22:04.919	-0.0015	0.0029	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-982	2892	-1276 
0x50	07:22:04.930	-0.0015	0.0010	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-983	2892	-1276 
0x50	07:22:04.940	0.0015	-0.0039	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-983	2892	-1276 
0x50	07:22:04.950	0.0044	-0.0078	0.9961	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-983	2893	-1276 
0x50	07:22:04.960	0.0034	-0.0054	0.9985	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2892	-1276 
0x50	07:22:04.969	-0.0010	-0.0005	1.0029	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1276 
0x50	07:22:04.979	0.0005	0.0029	1.0024	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1276 
0x50	07:22:05.001	-0.0010	0.0044	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1276 
0x50	07:22:05.001	0.0000	0.0054	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4500	-984	2892	-1276 
0x50	07:22:05.010	-0.0010	0.0015	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-984	2893	-1276 
0x50	07:22:05.019	-0.0010	-0.0020	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.4000	-984	2892	-1277 
0x50	07:22:05.029	0.0015	-0.0034	1.0015	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-985	2892	-1277 
0x50	07:22:05.039	0.0000	-0.0039	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-985	2892	-1277 
0x50	07:22:05.049	0.0005	-0.0034	0.9985	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-985	2892	-1277 
0x50	07:22:05.060	0.0005	-0.0005	0.9985	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2892	-1277 
0x50	07:22:05.069	-0.0015	0.0010	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-984	2893	-1277 
0x50	07:22:05.079	0.0005	0.0000	1.0015	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-984	2893	-1277 
0x50	07:22:05.089	0.0020	0.0024	1.0015	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-983	2893	-1277 
0x50	07:22:05.099	0.0029	0.0024	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-983	2893	-1277 
0x50	07:22:05.109	0.0015	0.0015	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-983	2893	-1277 
0x50	07:22:05.119	0.0005	0.0024	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2892	-1277 
0x50	07:22:05.129	-0.0010	0.0010	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.139	-0.0024	-0.0005	1.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.149	-0.0010	-0.0029	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.159	0.0005	-0.0039	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.169	0.0000	-0.0039	0.9980	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.179	0.0029	-0.0015	0.9995	0.0000	0.0000	0.0000	-0.0110	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.189	0.0005	0.0015	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-984	2893	-1277 
0x50	07:22:05.199	0.0000	0.0039	1.0024	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-984	2893	-1277 
0x50	07:22:05.225	-0.0015	0.0059	1.0015	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.225	-0.0010	0.0015	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-984	2893	-1277 
0x50	07:22:05.228	0.0015	0.0000	0.9985	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.238	0.0034	-0.0034	0.9980	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.248	0.0029	-0.0039	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1276 
0x50	07:22:05.258	0.0000	-0.0029	1.0010	0.0000	0.0000	0.0000	-0.0055	-0.0055	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.268	-0.0010	0.0000	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1277 
0x50	07:22:05.278	-0.0010	0.0024	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4500	-984	2893	-1276 
0x50	07:22:05.288	-0.0015	0.0024	0.9980	0.0000	0.0000	0.0000	-0.0055	0.0000	0.0000	23.4000	-984	2893	-1276 
