StartTime: 2020-02-11 21:33:13.098
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	21:46:37.370	-0.0068	-0.0029	1.0020	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.375	-0.0054	-0.0015	1.0039	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.380	-0.0059	-0.0015	1.0044	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.384	-0.0044	0.0000	1.0015	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4200	-1247	2807	-1255 
0x50	21:46:37.390	-0.0039	-0.0005	1.0039	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.394	-0.0044	0.0000	1.0029	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.5300	-1247	2807	-1255 
0x50	21:46:37.400	-0.0054	0.0010	1.0044	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.404	-0.0039	0.0000	1.0044	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.411	-0.0044	0.0000	1.0029	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1254 
0x50	21:46:37.415	-0.0054	0.0000	1.0044	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.419	-0.0029	0.0000	1.0020	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2806	-1255 
0x50	21:46:37.425	-0.0044	0.0000	1.0054	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.431	-0.0024	-0.0005	1.0020	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.436	-0.0029	-0.0015	1.0029	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.439	-0.0039	-0.0015	1.0029	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.446	-0.0029	-0.0020	1.0020	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.449	-0.0054	-0.0015	1.0020	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.457	-0.0054	-0.0020	1.0029	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2806	-1255 
0x50	21:46:37.461	-0.0059	-0.0020	1.0054	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2806	-1255 
0x50	21:46:37.465	-0.0073	-0.0020	1.0039	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2806	-1255 
0x50	21:46:37.471	-0.0068	-0.0029	1.0015	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.476	-0.0068	-0.0020	1.0015	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.480	-0.0044	-0.0020	1.0044	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.486	-0.0083	-0.0020	1.0054	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.489	-0.0068	-0.0020	1.0029	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
0x50	21:46:37.513	-0.0059	-0.0029	1.0020	0.0000	0.0000	0.0000	-0.0220	-0.0055	0.0055	28.4800	-1247	2807	-1255 
