StartTime: 2020-02-11 21:33:13.098
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	21:48:46.050	-0.0054	0.0000	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1260 
0x50	21:48:46.050	-0.0044	0.0010	1.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1260 
0x50	21:48:46.050	-0.0054	-0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1260 
0x50	21:48:46.050	-0.0044	-0.0005	1.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1261 
0x50	21:48:46.051	-0.0054	-0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1261 
0x50	21:48:46.051	-0.0054	-0.0015	1.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1261 
0x50	21:48:46.056	-0.0054	0.0000	1.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1261 
0x50	21:48:46.060	-0.0059	-0.0005	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1261 
0x50	21:48:46.064	-0.0039	0.0010	1.0044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1261 
0x50	21:48:46.070	-0.0054	0.0010	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1260 
0x50	21:48:46.074	-0.0073	0.0015	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1260 
0x50	21:48:46.081	-0.0059	0.0015	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2844	-1260 
0x50	21:48:46.085	-0.0044	0.0015	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5300	-1151	2843	-1260 
0x50	21:48:46.089	-0.0054	0.0029	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5300	-1151	2843	-1260 
0x50	21:48:46.096	-0.0054	0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1151	2843	-1260 
0x50	21:48:46.099	-0.0068	0.0029	1.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5300	-1151	2843	-1260 
0x50	21:48:46.119	-0.0068	0.0034	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1152	2843	-1260 
0x50	21:48:46.119	-0.0059	0.0020	1.0044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1152	2843	-1260 
0x50	21:48:46.119	-0.0068	0.0029	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1152	2843	-1260 
0x50	21:48:46.119	-0.0059	0.0020	1.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5300	-1152	2843	-1260 
0x50	21:48:46.125	-0.0068	0.0020	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1152	2843	-1260 
0x50	21:48:46.129	-0.0059	0.0010	1.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5300	-1152	2843	-1260 
0x50	21:48:46.136	-0.0054	0.0000	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.5800	-1152	2843	-1260 
