StartTime: 2019-07-12 09:29:41.400
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	09:34:32.771	-0.0044	-0.0049	0.9995	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3600	-946	2948	-1327 
0x50	09:34:32.771	-0.0049	-0.0059	1.0034	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2947	-1327 
0x50	09:34:32.771	-0.0059	-0.0073	1.0010	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2947	-1328 
0x50	09:34:32.771	-0.0044	-0.0073	0.9976	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2947	-1327 
0x50	09:34:32.771	-0.0024	-0.0078	0.9990	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2947	-1327 
0x50	09:34:32.771	-0.0044	-0.0063	0.9995	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2947	-1327 
0x50	09:34:32.771	-0.0049	-0.0059	1.0010	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3600	-946	2947	-1327 
0x50	09:34:32.771	-0.0049	-0.0063	1.0005	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2947	-1327 
0x50	09:34:32.771	-0.0063	-0.0063	1.0005	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3600	-946	2947	-1327 
0x50	09:34:32.771	-0.0088	-0.0073	0.9990	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2948	-1327 
0x50	09:34:32.771	-0.0078	-0.0059	0.9980	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3600	-946	2948	-1327 
0x50	09:34:32.771	-0.0073	-0.0059	1.0005	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2948	-1327 
0x50	09:34:32.776	-0.0073	-0.0049	1.0010	0.0000	0.0000	0.0000	-0.5219	0.0494	-3.3344	26.3100	-946	2947	-1327 
0x50	09:34:32.780	-0.0073	-0.0059	1.0005	0.0000	0.0000	0.0000	-0.5219	0.0549	-3.3344	26.3600	-946	2947	-1327 
0x50	09:34:32.786	-0.0078	-0.0073	0.9990	0.0000	0.0000	0.0000	-0.5219	0.0549	-3.3344	26.3600	-947	2947	-1327 
