StartTime: 2019-07-17 17:47:53.023
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	17:58:02.307	-0.0103	-0.0010	0.9985	0.0000	0.0000	0.0000	0.0604	0.2582	2.7905	27.0500	-996	2967	-1352 
0x50	17:58:02.313	-0.0088	0.0005	1.0000	0.0000	0.0000	0.0000	0.0604	0.2582	2.7905	27.0500	-996	2967	-1352 
0x50	17:58:02.317	-0.0093	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0604	0.2582	2.7905	27.0500	-996	2967	-1352 
0x50	17:58:02.323	-0.0088	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0604	0.2582	2.7905	27.0500	-996	2967	-1352 
0x50	17:58:02.327	-0.0093	0.0005	0.9995	0.0000	0.0000	0.0000	0.0604	0.2582	2.7905	27.0500	-996	2967	-1352 
0x50	17:58:02.333	-0.0093	0.0020	1.0000	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-996	2967	-1352 
0x50	17:58:02.337	-0.0093	0.0020	0.9995	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0000	-995	2967	-1352 
0x50	17:58:02.343	-0.0073	0.0024	0.9995	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-995	2967	-1352 
0x50	17:58:02.347	-0.0093	0.0024	1.0015	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-995	2966	-1352 
0x50	17:58:02.353	-0.0078	0.0024	1.0024	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-995	2966	-1352 
0x50	17:58:02.357	-0.0088	0.0024	1.0000	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0000	-995	2966	-1352 
0x50	17:58:02.363	-0.0088	0.0010	0.9980	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-995	2966	-1352 
0x50	17:58:02.367	-0.0078	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-996	2966	-1352 
0x50	17:58:02.373	-0.0073	0.0010	1.0000	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-995	2966	-1352 
0x50	17:58:02.377	-0.0059	0.0005	1.0010	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0000	-995	2966	-1352 
0x50	17:58:02.383	-0.0059	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-995	2966	-1352 
0x50	17:58:02.387	-0.0088	-0.0010	0.9995	0.0000	0.0000	0.0000	0.0604	0.2637	2.7905	27.0500	-995	2966	-1351 
