Time (s)	Processed X Gyro	Processed Y Gyro	Processed Z Gyro	Processed X Accel	Processed Y Accel	Processed Z Accel
704.505047	0.024032107	0.134680301	0.137643918	-0.026166985	-0.025404697	-1.000858665
704.5684394	-0.00525077	-0.258051246	0.076811291	-0.026060591	-0.025235023	-1.000738502
704.6291183	0.08457239	0.195443928	0.04596873	-0.02611842	-0.027072089	-1.00082767
704.6919739	0.143961161	0.139634773	0.076516762	-0.025083303	-0.0272396	-1.001536489
704.7557303	0.057647135	-0.082425468	0.016482554	-0.026366759	-0.025780087	-1.001929402
704.8165837	-0.067649342	-0.017550241	-0.015224496	-0.025854021	-0.026789226	-1.002299905
704.8798391	0.073221996	0.143724337	0.116241634	-0.02634033	-0.02613562	-1.001998067
704.9426051	0.145251513	0.105359651	0.076459959	-0.026288243	-0.025632542	-1.001641512
705.0039523	0.054303378	-0.01754282	-0.045389213	-0.026837578	-0.025905695	-1.001197338
705.0679898	0.088806026	0.290975869	0.055555843	-0.026857521	-0.025011102	-1.001260042
705.1326076	0.085116602	0.074389547	0.046329066	-0.025051953	-0.024715358	-1.00204742
705.1927326	-0.189172551	-0.32242617	0.106836863	-0.027398691	-0.027013581	-1.000852466
705.2536993	-0.249863312	-0.172780782	0.046327736	-0.0265901	-0.026845599	-1.000729799
705.316811	0.4197281	-0.051577214	0.106725164	-0.027713317	-0.025772559	-1.002383471
705.3785258	-0.280016571	0.252635688	-0.013926024	-0.027877953	-0.024944149	-1.001916289
705.4425534	-0.250367016	-0.291958272	0.045855649	-0.027610138	-0.025769811	-1.0003618
705.5032631	0.024447557	0.247476026	0.015775604	-0.026641417	-0.026627459	-1.000863433
705.5668596	-0.067917436	0.079152107	0.077547908	-0.026411287	-0.026520381	-1.002286553
705.6287362	-0.189381182	0.074464433	-0.045390967	-0.027099973	-0.026216606	-1.001544595
705.6918219	-0.096087955	-0.25646165	0.051626265	-0.027206028	-0.02543867	-1.001302361
705.7546344	0.146924138	0.044384181	0.077305712	-0.027718311	-0.026150148	-1.001365662
705.8186936	-0.007066877	0.104867399	0.106928952	-0.027782761	-0.026389167	-1.000881553
705.8794791	-0.07166829	-0.209498301	0.090166613	-0.026383165	-0.026474906	-1.001031756
705.9415803	0.052091304	-0.048776001	0.044278529	-0.026651833	-0.026563508	-1.000821948
706.0045677	0.087367699	0.16661492	0.105249904	-0.026982937	-0.026540294	-1.001414061
706.0682211	0.147796303	0.045226377	-0.013324786	-0.026315007	-0.025673453	-1.00152421
706.131098	-4.22551012	-9.766303062	-1.266810298	-0.024986994	-0.032870334	-1.034326553
706.1923978	-4.705180168	-12.48348045	1.325567722	-0.022079414	-0.021726511	-0.987884939
706.254188	1.70324719	0.709687769	0.229116961	-0.024519186	-0.02412015	-0.999782264
706.3162446	0.247522727	1.933949947	0.118473448	-0.024171513	-0.02083162	-0.999511957
706.3822665	0.513980269	0.226251319	-0.228530854	-0.028704751	-0.026445933	-1.000576973
706.4412846	-1.226702332	0.637290776	-0.321575016	-0.026749518	-0.027636262	-1.004849195
706.5052637	0.707463801	7.215569019	-0.62934655	-0.025613107	-0.025087763	-1.007345319
706.5671596	3.157348156	-17.67986107	10.98761845	-0.035428077	-0.024457436	-1.00238502
706.6314841	-12.48667526	-0.244813502	-7.636635303	0.007408183	-0.016845783	-0.98029381
706.691981	-28.06985855	-12.73384094	4.919272423	-0.044209708	-0.026706751	-0.985475421
706.7561215	-14.46510983	-14.74746132	1.622061133	-0.025787564	-0.008531594	-1.001727104
706.817038	-3.420983791	-3.922125816	8.734235764	-0.030985391	0.010359716	-1.009955287
706.8798861	-6.101201057	-3.369024038	0.502732396	-0.049748171	0.016867798	-1.007382393
706.941784	13.91137695	10.09871292	-0.618805826	0.016600076	0.041895412	-1.01276505
707.0079619	1.964591622	-2.950801373	-17.00217056	0.002838101	0.017822318	-0.991502166
707.0667329	5.615363121	-3.067043781	-5.346122265	0.030886661	0.022368999	-0.999082267
707.1284851	12.2227726	3.775160789	-3.465272188	0.033642486	0.022772554	-0.994721234
707.193742	1.609112382	-1.975238442	1.293323994	-0.013027985	-0.013194118	-1.003592849
707.2577712	11.71478939	-1.042175412	-4.195354462	-0.030816171	-0.031950377	-1.018664718
707.3166922	-13.34062958	22.58172989	-17.31426811	-0.037046857	-0.00235064	-0.99443996
707.3785195	38.76354218	63.1010704	-2.472662926	-0.022367805	-6.71E-05	-1.064872503
707.4446322	20.02488136	19.03572083	40.00710678	0.031413976	-0.02398099	-0.974690616
707.5075091	-16.74339104	-9.423716545	19.754776	0.028483402	-0.036404785	-0.936897755
707.5665848	-16.74801826	-9.447275162	12.43303967	0.036910564	-0.06508591	-1.004541159
707.6304964	-10.5150528	22.27010345	-20.28457451	0.022419261	-0.064439416	-1.007436156
707.6915104	-0.28731662	-3.444521666	-9.403112411	0.019635707	-0.021831555	-0.97467804
707.7572987	-10.85269356	-46.73332977	-11.22656727	0.006674832	-0.004129379	-0.993434429
707.8174454	-7.750302792	-80.19075012	5.691096306	0.027265824	0.0321327	-1.00100255
707.8803768	-0.626995265	-89.94347382	46.93455887	-0.065759048	0.035103701	-1.009404778
707.9414489	0.84629792	-8.68626976	-5.784145355	-0.071780637	-0.000579415	-1.001883507
708.0053707	13.93629265	-18.16919136	-4.480683804	-0.099465467	-0.014575851	-1.026260257
708.0680972	2.310505629	10.83547878	-20.92947388	-0.090993941	-0.05997619	-1.011542439
708.1292032	17.29142761	-16.94227791	-5.068179607	-0.159158915	-0.076326273	-1.01755774
708.1907016	6.091705799	27.52294922	4.923606396	-0.111145779	-0.055309862	-0.955230236
708.2571929	-12.91486263	16.09980392	-8.992725372	-0.072631024	-0.060977284	-1.013427615
708.3160468	-12.63072109	11.42299652	-11.17424774	-0.073799923	-0.03494601	-1.000527382
708.3791092	-6.590386868	-13.79758739	13.76620865	-0.092522942	-0.029109696	-0.993196607
708.4427969	2.3406744	10.55882454	17.03722191	-0.10642565	-0.036636084	-1.03564024
708.5050726	-3.439620972	-35.32085037	35.35063171	-0.118154138	-0.038732238	-1.015259504
708.5671367	-37.62357712	-52.30181122	51.55858994	-0.15131335	-0.025555173	-0.970592856
708.6289367	2.91982913	-48.09790421	26.81915474	-0.123116739	-0.029185234	-0.982685447
708.6936528	-9.030950546	-0.035823002	-0.723724604	-0.107278205	-0.006772623	-0.98740834
708.7564547	-30.51618004	23.06934738	-5.275648117	-0.205070108	0.013173074	-1.006066561
708.8176096	-7.566453457	26.15218353	-51.85974884	-0.160189211	0.047443353	-0.998347878
708.8796919	-3.486971617	47.76392746	-47.22075272	-0.104567647	0.040477611	-1.003591299
708.9437775	-4.74219799	72.67268372	-80.76243591	-0.075080544	0.034752931	-1.00022316
709.0077033	-10.16788673	18.48770523	-75.77544403	0.030028496	0.023916867	-1.012516379
709.0665734	1.891841531	24.70967484	-32.07442093	0.001107163	0.012381795	-1.027215838
709.1286971	6.256175995	-8.522761345	-19.30833817	0.027571924	0.04943794	-0.983643472
709.192538	12.88789368	9.774436951	-8.693070412	-0.044640213	-0.019088751	-1.037133574
709.2535808	4.716609478	51.07112503	0.980674028	-0.025082795	0.004858624	-1.002773762
709.3173661	-6.854332447	-19.39199638	36.05617523	-0.083532214	0.058827374	-1.003032207
709.3835802	-7.538015842	-8.003213882	10.75017357	-0.080155902	0.062392484	-1.02814424
709.4444857	-20.55194664	-0.293116897	10.32729149	-0.030680057	0.117847309	-1.006386042
709.505349	-15.94503117	-40.96105194	15.41192436	-0.029032765	0.080451518	-0.989497125
709.5663208	67.6414032	-13.43575001	36.1857605	-0.025836507	0.110221915	-1.007858157
709.6319487	74.42743683	20.68714333	10.18126106	-0.052020513	-0.016098361	-1.061965108
709.6921377	18.04770088	-41.91261673	36.12213898	-0.057362113	-0.064221971	-1.027778864
709.757436	-15.61097431	10.89281368	11.12603951	-0.055565815	-0.106435135	-0.991404116
709.8160768	-37.2997551	-2.033956528	5.213722706	-0.0726244	-0.069552891	-0.962959886
709.880003	-51.99807739	-0.814576149	-51.74333572	-0.105409905	-0.059651248	-0.97848022
709.9409826	-93.4667511	-8.927825928	-29.07475662	-0.084891237	-0.021855537	-0.986987531
710.0041746	-19.72105408	2.607494831	-1.809028625	-0.093430169	0.010251706	-1.03072381
710.066059	55.50987625	12.15438652	44.55884171	-0.096040539	0.049617898	-1.021898508
710.1330718	42.87818146	4.219198227	-6.292960644	-0.064566799	0.030685998	-1.04607451
710.1930389	39.09067535	-4.099692345	-14.11612988	-0.080938987	0.00500447	-1.035283685
710.2570176	14.91209984	10.74628258	-16.22956467	-0.0440595	0.032555986	-1.010876298
710.3187907	12.88840485	1.15195632	-13.71966171	-0.0545302	0.041579433	-1.003032565
710.3790938	4.644906521	15.15835667	6.419489384	-0.042532649	0.025797194	-1.000020146
710.4430085	-13.84654045	-10.83608341	-5.524945259	-0.027649641	0.0103589	-0.97831732
710.505829	-28.8279686	-5.014764309	12.18679142	-0.050411552	0.011384534	-0.98088485
710.5668695	-1.532029152	3.600422144	45.30727768	-0.040579963	0.044567417	-1.013648748
710.6289813	-11.2681036	7.504428387	-12.10084343	-0.014287373	0.122164063	-0.962934256
710.6947005	-11.38503647	10.07241726	-0.172576532	-0.055245474	0.207207456	-1.002642035
710.7537431	35.85568619	14.89349365	14.15725231	-0.052229319	0.187502652	-1.043584704
710.8164483	-4.147856236	4.128002167	-33.49953842	-0.047335837	0.20081389	-1.0090276
710.8784109	0.238662839	-31.53507996	-7.614526749	-0.013561043	0.188528135	-1.042371631
710.9414453	1.723699212	2.014941692	8.718196869	-0.039159685	0.180684313	-0.979454279
