StartTime: 2019-07-25 06:38:30.218
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	07:11:09.102	0.0010	0.0059	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.115	0.0000	0.0044	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.115	0.0000	0.0049	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.117	0.0024	0.0044	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.122	0.0010	0.0044	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1166 
0x50	07:11:09.126	0.0015	0.0059	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1166 
0x50	07:11:09.132	0.0029	0.0044	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1166 
0x50	07:11:09.136	0.0015	0.0044	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1166 
0x50	07:11:09.142	0.0029	0.0044	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.146	0.0044	0.0049	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.152	0.0029	0.0049	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.156	0.0024	0.0059	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1166 
0x50	07:11:09.162	0.0044	0.0059	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.2600	-1197	2993	-1165 
0x50	07:11:09.166	0.0029	0.0059	1.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.2600	-1197	2993	-1165 
0x50	07:11:09.172	0.0024	0.0059	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.2600	-1197	2992	-1165 
0x50	07:11:09.176	0.0044	0.0049	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.2600	-1197	2992	-1165 
0x50	07:11:09.182	0.0039	0.0059	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.2600	-1197	2992	-1165 
0x50	07:11:09.186	0.0024	0.0044	1.0015	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.192	0.0044	0.0059	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2992	-1165 
0x50	07:11:09.196	0.0039	0.0044	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.202	0.0024	0.0034	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.206	0.0024	0.0029	1.0015	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.213	0.0029	0.0044	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.2600	-1198	2992	-1164 
0x50	07:11:09.217	0.0029	0.0044	1.0015	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2992	-1165 
0x50	07:11:09.221	0.0039	0.0034	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.2600	-1198	2992	-1165 
0x50	07:11:09.227	0.0024	0.0034	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.2600	-1198	2992	-1165 
0x50	07:11:09.231	0.0015	0.0044	1.0015	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.2600	-1198	2992	-1165 
0x50	07:11:09.237	0.0015	0.0029	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.2600	-1198	2992	-1164 
0x50	07:11:09.241	0.0024	0.0049	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.248	0.0024	0.0044	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2993	-1164 
0x50	07:11:09.252	0.0029	0.0049	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.2600	-1198	2992	-1164 
0x50	07:11:09.256	0.0015	0.0063	0.9985	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.262	0.0015	0.0059	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.266	-0.0005	0.0063	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.281	0.0000	0.0073	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.281	-0.0005	0.0073	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.281	0.0000	0.0073	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.287	-0.0005	0.0073	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.2600	-1197	2992	-1165 
0x50	07:11:09.292	-0.0005	0.0063	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.296	0.0010	0.0049	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1165 
0x50	07:11:09.302	0.0010	0.0034	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.306	0.0024	0.0034	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2993	-1165 
0x50	07:11:09.312	0.0024	0.0029	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2993	-1165 
0x50	07:11:09.316	0.0029	0.0015	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.2600	-1198	2993	-1165 
0x50	07:11:09.322	0.0039	0.0034	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1165 
0x50	07:11:09.326	0.0044	0.0029	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1165 
0x50	07:11:09.332	0.0044	0.0034	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.2600	-1198	2992	-1165 
0x50	07:11:09.336	0.0054	0.0034	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1165 
0x50	07:11:09.342	0.0039	0.0049	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.346	0.0024	0.0059	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.352	0.0039	0.0059	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.356	0.0029	0.0073	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1197	2992	-1165 
0x50	07:11:09.362	0.0039	0.0073	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.366	0.0029	0.0063	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.372	0.0039	0.0073	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.2600	-1198	2992	-1164 
0x50	07:11:09.376	0.0024	0.0059	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
0x50	07:11:09.382	0.0029	0.0049	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	28.3200	-1198	2992	-1164 
