StartTime: 2019-07-17 23:03:04.058
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	23:11:08.934	-0.0010	-0.0010	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1200	2717	-1242 
0x50	23:11:08.940	0.0005	-0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1200	2717	-1242 
0x50	23:11:08.944	-0.0005	-0.0034	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1200	2717	-1242 
0x50	23:11:08.951	-0.0005	-0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1200	2717	-1242 
0x50	23:11:08.955	-0.0005	-0.0034	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1200	2717	-1242 
0x50	23:11:08.959	-0.0005	-0.0039	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1200	2717	-1243 
0x50	23:11:08.965	-0.0005	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:08.969	0.0005	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:08.975	-0.0005	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:08.979	0.0005	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:08.985	0.0005	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:08.989	-0.0005	-0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.010	0.0010	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.010	-0.0005	0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.010	-0.0010	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.7400	-1201	2717	-1242 
0x50	23:11:09.010	-0.0005	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.015	-0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.019	-0.0005	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2718	-1243 
0x50	23:11:09.025	-0.0005	0.0005	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2718	-1243 
0x50	23:11:09.029	-0.0010	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.035	-0.0010	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2718	-1243 
0x50	23:11:09.039	-0.0005	-0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2718	-1243 
0x50	23:11:09.045	-0.0005	-0.0034	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2718	-1242 
0x50	23:11:09.049	0.0010	-0.0039	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.055	0.0005	-0.0024	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.058	-0.0005	-0.0024	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.065	-0.0010	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.069	0.0010	-0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.075	-0.0005	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.079	-0.0010	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.085	-0.0020	0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.089	-0.0020	0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.095	-0.0010	0.0010	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.099	-0.0010	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.105	-0.0020	-0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.7400	-1201	2717	-1242 
0x50	23:11:09.109	-0.0005	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.115	0.0005	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.119	-0.0005	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.125	-0.0005	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.129	0.0010	-0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1201	2717	-1242 
0x50	23:11:09.135	0.0005	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.139	0.0005	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.145	-0.0005	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.149	-0.0010	-0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.155	-0.0005	-0.0010	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.159	-0.0010	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.178	-0.0010	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.178	-0.0010	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.178	-0.0010	-0.0010	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1242 
0x50	23:11:09.179	-0.0005	-0.0010	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2718	-1243 
0x50	23:11:09.185	0.0005	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.188	0.0005	-0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.195	-0.0005	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.199	0.0005	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.205	-0.0005	-0.0034	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.209	0.0005	-0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1201	2717	-1243 
0x50	23:11:09.215	0.0020	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1201	2717	-1243 
0x50	23:11:09.219	0.0005	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.225	0.0005	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6800	-1201	2717	-1243 
0x50	23:11:09.229	0.0010	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1201	2717	-1243 
