StartTime: 2019-07-17 21:56:13.657
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	22:36:44.289	0.0024	-0.0015	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3037	-1363 
0x50	22:36:44.289	0.0015	-0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1363 
0x50	22:36:44.289	0.0015	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3037	-1363 
0x50	22:36:44.289	0.0029	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1049	3037	-1363 
0x50	22:36:44.289	0.0029	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1049	3038	-1363 
0x50	22:36:44.289	0.0039	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1049	3038	-1364 
0x50	22:36:44.289	0.0044	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3038	-1363 
0x50	22:36:44.289	0.0029	0.0000	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3038	-1363 
0x50	22:36:44.289	0.0044	-0.0015	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3038	-1363 
0x50	22:36:44.289	0.0054	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3038	-1363 
0x50	22:36:44.289	0.0044	-0.0029	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1363 
0x50	22:36:44.293	0.0054	-0.0029	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1363 
0x50	22:36:44.299	0.0044	-0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1363 
0x50	22:36:44.303	0.0054	-0.0034	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1364 
0x50	22:36:44.309	0.0054	-0.0034	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1363 
0x50	22:36:44.313	0.0044	-0.0034	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3037	-1363 
0x50	22:36:44.319	0.0044	-0.0034	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3037	-1364 
0x50	22:36:44.323	0.0054	-0.0034	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1364 
0x50	22:36:44.329	0.0054	-0.0049	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3037	-1364 
0x50	22:36:44.333	0.0044	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1363 
0x50	22:36:44.339	0.0044	-0.0029	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3037	-1364 
0x50	22:36:44.357	0.0044	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3038	-1364 
0x50	22:36:44.357	0.0039	-0.0029	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3037	-1364 
0x50	22:36:44.357	0.0024	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.6300	-1050	3037	-1363 
0x50	22:36:44.359	0.0024	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1364 
0x50	22:36:44.363	0.0029	-0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.5800	-1050	3037	-1364 
