StartTime: 2019-07-17 21:56:13.657
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	22:05:46.181	0.0010	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1050	3071	-1420 
0x50	22:05:46.181	0.0010	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1050	3071	-1420 
0x50	22:05:46.181	0.0010	-0.0015	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1050	3071	-1420 
0x50	22:05:46.181	0.0010	-0.0015	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.181	-0.0010	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1420 
0x50	22:05:46.184	-0.0010	-0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.188	-0.0015	0.0010	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.193	-0.0015	0.0015	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1050	3071	-1420 
0x50	22:05:46.197	-0.0010	0.0000	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1050	3071	-1420 
0x50	22:05:46.203	-0.0015	0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1050	3071	-1420 
0x50	22:05:46.207	-0.0015	0.0024	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1050	3071	-1420 
0x50	22:05:46.213	-0.0015	0.0024	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1050	3071	-1420 
0x50	22:05:46.217	-0.0024	0.0015	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3070	-1420 
0x50	22:05:46.223	-0.0015	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.227	-0.0024	-0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1420 
0x50	22:05:46.233	-0.0024	-0.0020	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.237	-0.0024	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.243	-0.0010	-0.0034	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1421 
0x50	22:05:46.247	-0.0010	-0.0044	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.253	-0.0015	-0.0034	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.257	0.0015	-0.0029	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.263	-0.0010	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.267	-0.0010	-0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.274	0.0000	-0.0015	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.277	-0.0015	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.283	0.0000	0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.288	-0.0015	0.0029	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.292	0.0000	0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.298	-0.0010	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1421 
0x50	22:05:46.303	-0.0010	0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1420 
0x50	22:05:46.306	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.313	0.0000	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1420 
0x50	22:05:46.318	0.0010	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3070	-1421 
0x50	22:05:46.322	0.0000	-0.0020	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.328	0.0000	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.333	-0.0015	-0.0029	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.337	-0.0010	-0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.354	-0.0015	-0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.354	-0.0015	-0.0015	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.354	0.0000	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1421 
0x50	22:05:46.358	-0.0015	-0.0005	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1422 
0x50	22:05:46.362	-0.0010	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.368	-0.0015	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.372	-0.0015	-0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1421 
0x50	22:05:46.378	0.0000	-0.0020	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.383	0.0010	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.388	0.0015	-0.0015	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.392	0.0015	-0.0015	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.399	0.0010	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1500	-1051	3071	-1421 
0x50	22:05:46.402	0.0000	0.0000	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
0x50	22:05:46.408	0.0010	-0.0015	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.412	-0.0010	0.0000	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1420 
0x50	22:05:46.418	-0.0015	0.0024	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.1000	-1051	3071	-1421 
