StartTime: 2019-07-17 21:56:13.657
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	22:11:13.888	0.0039	-0.0005	1.0010	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.888	0.0029	-0.0005	1.0020	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.888	0.0039	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5700	-968	3070	-1369 
0x50	22:11:13.888	0.0015	0.0000	0.9980	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5700	-968	3070	-1369 
0x50	22:11:13.888	0.0010	-0.0005	0.9995	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.891	0.0010	-0.0005	0.9990	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.898	0.0039	-0.0029	0.9966	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.902	0.0015	-0.0020	0.9990	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.906	0.0015	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5700	-968	3070	-1369 
0x50	22:11:13.912	0.0015	-0.0020	1.0024	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5700	-968	3070	-1369 
0x50	22:11:13.917	0.0029	-0.0020	1.0020	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.920	0.0029	-0.0034	1.0005	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.927	0.0029	-0.0034	1.0010	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5700	-968	3070	-1369 
0x50	22:11:13.931	0.0024	-0.0015	1.0020	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1369 
0x50	22:11:13.937	0.0024	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.941	0.0024	0.0015	1.0020	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.947	0.0010	0.0015	1.0005	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.951	-0.0010	0.0029	0.9980	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:13.957	0.0010	0.0029	0.9980	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1369 
0x50	22:11:13.961	-0.0015	0.0039	1.0034	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1369 
0x50	22:11:13.968	0.0000	0.0044	0.9976	0.0000	0.0000	0.0000	0.0000	-0.0165	0.0385	26.5200	-969	3070	-1369 
0x50	22:11:13.972	-0.0010	0.0024	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0165	0.0385	26.5700	-969	3070	-1369 
0x50	22:11:13.977	-0.0010	0.0029	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0165	0.0385	26.5700	-969	3070	-1368 
0x50	22:11:13.981	0.0000	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0165	0.0385	26.5200	-969	3069	-1368 
0x50	22:11:13.987	0.0010	-0.0015	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0165	0.0385	26.5700	-969	3069	-1368 
0x50	22:11:14.009	0.0000	-0.0029	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0165	0.0330	26.5700	-969	3069	-1368 
0x50	22:11:14.009	0.0015	-0.0063	0.9990	0.0000	0.0000	0.0000	0.0000	-0.0165	0.0330	26.5700	-969	3070	-1368 
0x50	22:11:14.009	0.0029	-0.0068	0.9976	0.0000	0.0000	0.0000	-0.0055	-0.0165	0.0330	26.5700	-969	3070	-1368 
0x50	22:11:14.009	0.0054	-0.0083	0.9976	0.0000	0.0000	0.0000	-0.0055	-0.0165	0.0330	26.5700	-969	3070	-1369 
0x50	22:11:14.011	0.0044	-0.0093	0.9966	0.0000	0.0000	0.0000	-0.0055	-0.0165	0.0330	26.5200	-969	3070	-1369 
0x50	22:11:14.017	0.0044	-0.0078	1.0005	0.0000	0.0000	0.0000	-0.0055	-0.0165	0.0330	26.5200	-968	3070	-1369 
0x50	22:11:14.021	0.0039	-0.0068	0.9966	0.0000	0.0000	0.0000	-0.0055	-0.0165	0.0330	26.5200	-968	3070	-1370 
0x50	22:11:14.027	0.0044	-0.0034	0.9995	0.0000	0.0000	0.0000	-0.0055	-0.0165	0.0330	26.5200	-968	3070	-1369 
0x50	22:11:14.031	0.0039	-0.0005	1.0020	0.0000	0.0000	0.0000	-0.0055	-0.0165	0.0385	26.5200	-968	3070	-1369 
0x50	22:11:14.038	0.0044	0.0000	1.0024	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1369 
0x50	22:11:14.042	0.0029	0.0010	1.0034	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1369 
0x50	22:11:14.047	0.0029	0.0015	1.0005	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5700	-969	3070	-1369 
0x50	22:11:14.051	0.0059	0.0000	0.9990	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5700	-969	3070	-1369 
0x50	22:11:14.057	0.0039	0.0000	0.9976	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1368 
0x50	22:11:14.062	0.0059	-0.0005	0.9990	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1368 
0x50	22:11:14.067	0.0044	-0.0005	0.9995	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1368 
0x50	22:11:14.071	0.0054	-0.0020	0.9966	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1368 
0x50	22:11:14.077	0.0039	-0.0015	0.9990	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1368 
0x50	22:11:14.081	0.0039	-0.0020	0.9980	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1368 
0x50	22:11:14.087	0.0010	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	-0.0220	0.0385	26.5200	-969	3070	-1368 
