StartTime: 2019-07-17 17:47:53.023
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	18:16:50.647	0.0024	0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.651	0.0015	-0.0005	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.657	0.0024	-0.0010	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5800	-997	2964	-1315 
0x50	18:16:50.662	0.0034	-0.0010	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5800	-997	2964	-1315 
0x50	18:16:50.681	0.0024	-0.0010	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.681	0.0039	-0.0020	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.681	0.0049	-0.0020	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.682	0.0039	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1316 
0x50	18:16:50.687	0.0024	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1316 
0x50	18:16:50.691	0.0034	-0.0010	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1316 
0x50	18:16:50.697	0.0049	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1316 
0x50	18:16:50.701	0.0039	-0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-998	2964	-1316 
0x50	18:16:50.707	0.0054	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.711	0.0039	0.0005	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5800	-997	2964	-1315 
0x50	18:16:50.717	0.0039	0.0020	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.721	0.0039	0.0020	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5800	-998	2964	-1315 
0x50	18:16:50.727	0.0034	0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.731	0.0034	0.0005	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
0x50	18:16:50.737	0.0034	0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	27.5200	-997	2964	-1315 
