StartTime: 2019-08-06 07:18:46.944
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	07:22:41.907	0.0034	0.0015	1.0015	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.5600	-1064	2852	-1272 
0x50	07:22:41.917	0.0034	0.0029	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.5600	-1064	2851	-1272 
0x50	07:22:41.927	0.0034	0.0029	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.6100	-1064	2851	-1273 
0x50	07:22:41.937	0.0034	0.0010	0.9971	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.5600	-1064	2851	-1273 
0x50	07:22:41.947	0.0005	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.6100	-1064	2851	-1273 
0x50	07:22:41.957	0.0000	-0.0029	0.9971	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.5600	-1064	2852	-1274 
0x50	07:22:41.967	0.0005	-0.0034	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.5600	-1064	2852	-1274 
0x50	07:22:41.977	0.0005	-0.0039	1.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.6100	-1063	2852	-1274 
0x50	07:22:41.987	0.0005	-0.0029	0.9971	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.6100	-1063	2852	-1274 
0x50	07:22:42.007	-0.0024	-0.0005	0.9980	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.5600	-1063	2852	-1275 
0x50	07:22:42.007	-0.0024	0.0024	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.5600	-1063	2852	-1275 
0x50	07:22:42.017	-0.0024	0.0054	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.6100	-1064	2852	-1275 
0x50	07:22:42.027	-0.0010	0.0029	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.5600	-1064	2852	-1275 
0x50	07:22:42.037	0.0000	0.0015	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.6100	-1064	2852	-1275 
0x50	07:22:42.047	0.0020	-0.0015	0.9971	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.5600	-1064	2852	-1275 
0x50	07:22:42.057	0.0049	-0.0049	0.9941	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.5600	-1064	2852	-1275 
0x50	07:22:42.067	0.0049	-0.0020	0.9912	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.5600	-1063	2852	-1275 
0x50	07:22:42.077	0.0020	0.0010	0.9980	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	23.6100	-1064	2852	-1275 
0x50	07:22:42.087	0.0015	0.0059	1.0029	2.8687	2.5635	1.1597	0.0000	-0.0055	0.0000	23.5600	-1063	2852	-1275 
0x50	07:22:42.097	0.0000	0.0054	1.0024	3.7842	2.1973	1.1597	0.0055	0.0000	0.0000	23.6100	-1063	2852	-1275 
0x50	07:22:42.107	-0.0010	0.0039	1.0039	3.2349	1.0376	0.4883	0.0110	0.0000	0.0055	23.5600	-1063	2852	-1275 
0x50	07:22:42.117	0.0020	-0.0020	1.0010	1.4038	0.6104	0.4272	0.0110	0.0000	0.0055	23.6100	-1063	2851	-1275 
0x50	07:22:42.127	0.0005	-0.0068	0.9985	1.4648	1.0986	0.8545	0.0110	0.0000	0.0055	23.6100	-1063	2852	-1275 
0x50	07:22:42.137	0.0000	-0.0083	0.9971	1.7090	1.2817	1.6479	0.0110	0.0000	0.0055	23.5600	-1063	2852	-1275 
0x50	07:22:42.147	0.0015	-0.0068	1.0015	2.3193	0.9766	1.7090	0.0110	0.0000	0.0110	23.6100	-1063	2852	-1275 
0x50	07:22:42.157	-0.0024	0.0000	1.0029	2.2583	1.4038	2.5024	0.0110	0.0000	0.0110	23.6100	-1062	2852	-1276 
0x50	07:22:42.182	-0.0083	0.0088	1.0024	2.2583	1.2817	2.1973	0.0165	0.0055	0.0110	23.6100	-1062	2852	-1276 
0x50	07:22:42.182	-0.0093	0.0127	1.0024	1.8921	0.6714	0.9766	0.0220	0.0110	0.0165	23.5600	-1063	2852	-1276 
0x50	07:22:42.187	-0.0078	0.0112	1.0054	2.5024	1.6479	0.6104	0.0330	0.0110	0.0165	23.5600	-1063	2852	-1277 
0x50	07:22:42.197	-0.0054	0.0059	0.9995	0.9155	1.8311	-0.5493	0.0330	0.0165	0.0165	23.5600	-1062	2852	-1277 
0x50	07:22:42.207	-0.0034	-0.0029	0.9971	0.9155	2.3193	-0.6714	0.0330	0.0220	0.0110	23.6100	-1062	2851	-1277 
0x50	07:22:42.217	0.0005	-0.0078	1.0039	1.1597	2.6855	-0.1221	0.0330	0.0220	0.0110	23.6100	-1062	2851	-1277 
