StartTime: 2020-02-11 21:33:13.098
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	21:39:24.078	-0.0024	0.0000	1.0044	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1231	2841	-1231 
0x50	21:39:24.080	-0.0024	-0.0020	0.9976	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1231	2841	-1230 
0x50	21:39:24.083	-0.0010	-0.0044	0.9971	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1231	2841	-1230 
0x50	21:39:24.089	-0.0010	-0.0020	1.0083	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1231	2841	-1230 
0x50	21:39:24.093	-0.0015	-0.0015	1.0073	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4200	-1231	2841	-1231 
0x50	21:39:24.099	-0.0010	-0.0020	1.0059	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1231	2841	-1230 
0x50	21:39:24.103	-0.0010	-0.0005	1.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1231	2841	-1230 
0x50	21:39:24.109	-0.0010	-0.0005	1.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1231	2841	-1230 
0x50	21:39:24.113	-0.0015	-0.0029	0.9941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1231	2841	-1230 
0x50	21:39:24.120	-0.0039	-0.0029	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1232	2841	-1229 
0x50	21:39:24.124	-0.0024	-0.0005	1.0068	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4200	-1232	2841	-1229 
0x50	21:39:24.128	-0.0015	-0.0005	0.9941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1232	2841	-1229 
0x50	21:39:24.135	-0.0010	-0.0005	0.9946	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4200	-1232	2841	-1229 
0x50	21:39:24.138	-0.0015	0.0000	0.9932	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4200	-1232	2841	-1229 
0x50	21:39:24.143	-0.0054	0.0049	1.0088	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4200	-1232	2841	-1228 
0x50	21:39:24.148	-0.0054	0.0059	1.0132	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4200	-1232	2842	-1228 
0x50	21:39:24.152	-0.0029	0.0049	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4200	-1232	2842	-1228 
0x50	21:39:24.158	-0.0024	0.0029	0.9941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1232	2842	-1228 
0x50	21:39:24.162	-0.0029	0.0020	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4200	-1232	2842	-1228 
0x50	21:39:24.168	-0.0029	0.0015	1.0088	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1232	2842	-1228 
0x50	21:39:24.172	-0.0024	-0.0015	1.0054	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1232	2842	-1228 
0x50	21:39:24.178	-0.0015	-0.0044	1.0029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1232	2842	-1228 
0x50	21:39:24.182	-0.0015	-0.0063	0.9961	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1232	2842	-1228 
0x50	21:39:24.188	-0.0015	-0.0073	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.4700	-1232	2842	-1228 
