StartTime: 2020-02-11 21:33:13.098
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	21:35:13.814	0.0002	-0.0012	0.5007	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1100	2880	-1204 
0x50	21:35:13.814	0.0002	-0.0005	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1100	2880	-1204 
0x50	21:35:13.814	0.0002	0.0000	0.4988	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1100	2880	-1204 
0x50	21:35:13.814	0.0007	0.0002	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:13.814	0.0000	0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:13.814	-0.0002	0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:13.814	-0.0005	0.0010	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:13.830	-0.0005	0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:13.830	-0.0007	0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:13.830	-0.0005	0.0007	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.830	-0.0005	0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.834	-0.0002	0.0005	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.840	-0.0005	0.0000	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.845	-0.0002	-0.0002	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:13.849	-0.0005	-0.0002	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.855	0.0000	-0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.860	-0.0007	-0.0002	0.5007	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.865	-0.0007	-0.0002	0.4990	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.869	-0.0007	0.0002	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.875	-0.0005	0.0005	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.879	-0.0007	0.0002	0.4990	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:13.885	-0.0010	0.0000	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:13.890	-0.0005	0.0005	0.4993	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:13.895	-0.0015	0.0005	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:13.899	-0.0007	0.0002	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:13.905	-0.0002	0.0000	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.909	0.0000	-0.0002	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.915	0.0002	-0.0002	0.4990	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:13.919	0.0007	-0.0005	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:13.925	0.0007	-0.0007	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:13.929	0.0005	-0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:13.935	0.0005	-0.0002	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:13.939	0.0010	0.0000	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1204 
0x50	21:35:13.945	0.0005	-0.0002	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:13.949	0.0005	-0.0002	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:13.955	0.0007	0.0000	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1102	2880	-1205 
0x50	21:35:13.963	0.0002	0.0002	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1102	2880	-1205 
0x50	21:35:13.965	0.0010	-0.0002	0.4990	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1102	2880	-1205 
0x50	21:35:13.969	0.0007	-0.0002	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:13.975	0.0007	0.0000	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1204 
0x50	21:35:13.980	0.0007	-0.0005	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1102	2880	-1204 
0x50	21:35:13.999	0.0002	-0.0012	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1102	2880	-1204 
0x50	21:35:13.999	0.0012	-0.0010	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:13.999	0.0002	-0.0012	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:14.000	0.0002	-0.0007	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:14.004	0.0000	-0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:14.010	-0.0002	-0.0005	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:14.015	-0.0005	-0.0007	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:14.019	0.0000	0.0002	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:14.025	-0.0002	0.0005	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1206 
0x50	21:35:14.029	-0.0005	0.0007	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1206 
0x50	21:35:14.035	-0.0007	0.0007	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.039	-0.0007	0.0007	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:14.045	-0.0007	0.0010	0.5005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.049	-0.0010	0.0010	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:14.055	-0.0005	0.0007	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:14.059	-0.0007	0.0007	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.065	-0.0002	0.0002	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.069	-0.0007	0.0002	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.075	-0.0002	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:14.079	0.0000	-0.0007	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.085	-0.0005	-0.0007	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.089	-0.0005	-0.0007	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.095	-0.0005	-0.0007	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.099	-0.0005	-0.0010	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2881	-1204 
0x50	21:35:14.105	-0.0002	-0.0007	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.109	0.0000	0.0002	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.115	0.0005	0.0000	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.119	0.0002	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.125	0.0000	-0.0002	0.4993	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.130	0.0005	0.0002	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.135	0.0007	0.0002	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.139	0.0007	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.145	0.0010	0.0000	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.149	0.0010	0.0000	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.155	0.0010	-0.0002	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.159	0.0017	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.165	0.0007	-0.0005	0.4993	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.170	0.0010	-0.0002	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.174	0.0002	-0.0002	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.180	0.0007	-0.0002	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.184	0.0007	-0.0007	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.190	0.0000	-0.0007	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.195	0.0007	-0.0007	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.199	0.0005	-0.0012	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1204 
0x50	21:35:14.219	0.0002	-0.0010	0.4990	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1101	2880	-1204 
0x50	21:35:14.219	-0.0005	-0.0005	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1101	2880	-1205 
0x50	21:35:14.219	-0.0002	-0.0002	0.4993	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.219	-0.0010	0.0005	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.225	-0.0007	0.0000	0.5007	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.229	-0.0010	0.0000	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.235	-0.0010	0.0005	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1101	2880	-1205 
0x50	21:35:14.239	-0.0005	0.0002	0.4995	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:14.245	-0.0010	0.0000	0.5002	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8400	-1102	2880	-1205 
0x50	21:35:14.249	-0.0010	0.0000	0.4998	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1102	2880	-1204 
0x50	21:35:14.255	-0.0005	-0.0005	0.4988	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1102	2880	-1204 
0x50	21:35:14.259	-0.0005	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	-0.0110	0.0000	26.8900	-1102	2880	-1204 
