StartTime: 2020-02-11 21:33:13.098
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	21:50:34.033	0.0059	-0.0020	1.0015	0.0000	0.0000	0.0000	-0.0330	-0.0165	0.0220	28.5800	-1265	2818	-891 
0x50	21:50:34.033	0.0059	-0.0029	1.0015	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2818	-891 
0x50	21:50:34.033	0.0044	-0.0020	1.0039	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2818	-891 
0x50	21:50:34.033	0.0054	-0.0020	1.0020	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2818	-890 
0x50	21:50:34.033	0.0054	-0.0020	1.0059	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-891 
0x50	21:50:34.036	0.0059	-0.0005	1.0029	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-891 
0x50	21:50:34.042	0.0044	-0.0005	1.0039	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-891 
0x50	21:50:34.047	0.0044	-0.0015	1.0044	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.050	0.0044	0.0000	1.0039	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.057	0.0029	0.0010	1.0039	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-891 
0x50	21:50:34.061	0.0044	0.0010	1.0029	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.067	0.0039	0.0010	1.0044	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.072	0.0054	0.0015	1.0020	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.076	0.0044	0.0010	1.0029	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.082	0.0054	0.0015	1.0044	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.086	0.0054	-0.0005	1.0029	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.092	0.0059	-0.0005	1.0029	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.096	0.0044	-0.0005	1.0020	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.102	0.0059	-0.0005	1.0044	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.106	0.0044	-0.0015	1.0039	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-889 
0x50	21:50:34.112	0.0054	-0.0015	1.0039	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.116	0.0044	-0.0015	1.0059	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.122	0.0044	-0.0015	1.0029	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.126	0.0044	-0.0015	1.0020	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-889 
0x50	21:50:34.132	0.0039	-0.0005	1.0039	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.137	0.0044	-0.0015	1.0039	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
0x50	21:50:34.158	0.0039	-0.0015	1.0029	0.0000	0.0000	0.0000	-0.0330	-0.0220	0.0220	28.5800	-1265	2817	-890 
