StartTime: 2019-07-31 06:03:28.986
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	06:34:18.389	0.0015	-0.0024	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-993	2961	-1217 
0x50	06:34:18.393	0.0000	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.8400	-993	2961	-1217 
0x50	06:34:18.399	0.0015	-0.0010	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1217 
0x50	06:34:18.403	0.0000	-0.0024	0.9976	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.409	0.0015	-0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.414	0.0015	-0.0024	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.418	0.0010	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.424	0.0029	-0.0020	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.428	0.0010	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1217 
0x50	06:34:18.435	0.0015	-0.0010	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1217 
0x50	06:34:18.439	0.0015	-0.0020	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1217 
0x50	06:34:18.443	0.0024	-0.0020	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0055	26.7800	-994	2961	-1217 
0x50	06:34:18.450	0.0029	-0.0010	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0055	26.7800	-994	2961	-1217 
0x50	06:34:18.454	0.0029	-0.0010	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.459	0.0024	0.0005	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.463	0.0015	-0.0005	0.9990	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.469	0.0015	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.473	0.0015	0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.480	0.0000	0.0024	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.484	-0.0005	0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2961	-1216 
0x50	06:34:18.489	-0.0015	0.0010	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2960	-1216 
0x50	06:34:18.493	-0.0024	0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	26.7800	-994	2960	-1216 
