StartTime: 2019-07-31 06:03:28.986
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	06:56:12.429	-0.0005	-0.0010	1.0034	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2965	-1215 
0x50	06:56:12.429	0.0000	-0.0020	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.429	0.0000	-0.0010	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.429	0.0000	-0.0020	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1216 
0x50	06:56:12.429	-0.0005	-0.0010	0.9995	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.432	0.0000	0.0005	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.439	-0.0005	-0.0010	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.444	-0.0005	0.0010	1.0020	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2965	-1216 
0x50	06:56:12.448	0.0010	0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.454	0.0000	0.0020	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.459	0.0010	0.0010	1.0020	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.463	-0.0015	0.0020	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.469	-0.0005	0.0020	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.473	-0.0015	0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.479	-0.0005	0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.502	0.0000	-0.0005	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.502	-0.0005	-0.0020	0.9980	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.502	-0.0015	-0.0005	0.9995	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.502	-0.0015	-0.0010	0.9995	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1216 
0x50	06:56:12.503	-0.0015	-0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1216 
0x50	06:56:12.509	0.0000	-0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1216 
0x50	06:56:12.514	-0.0015	-0.0010	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1216 
0x50	06:56:12.519	-0.0005	-0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1216 
0x50	06:56:12.523	-0.0005	-0.0020	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1216 
0x50	06:56:12.529	-0.0005	-0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.532	0.0000	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.539	0.0010	-0.0005	0.9980	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	26.9400	-987	2966	-1215 
0x50	06:56:12.543	0.0010	0.0010	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.549	0.0000	0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.554	0.0010	0.0020	0.9995	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.558	0.0010	0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.564	0.0010	0.0010	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.568	-0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.574	0.0000	0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2965	-1215 
0x50	06:56:12.579	-0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.584	-0.0015	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.588	0.0000	-0.0020	0.9966	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0500	-988	2966	-1215 
0x50	06:56:12.594	0.0000	-0.0020	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.599	0.0010	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.603	0.0010	-0.0010	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.626	0.0010	-0.0020	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.626	0.0015	-0.0010	0.9990	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.626	-0.0005	-0.0005	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.626	0.0010	-0.0005	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-988	2966	-1215 
0x50	06:56:12.629	-0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.633	0.0024	0.0005	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1216 
0x50	06:56:12.639	-0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1216 
0x50	06:56:12.643	-0.0015	0.0020	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1216 
0x50	06:56:12.649	0.0000	0.0005	0.9995	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1216 
0x50	06:56:12.654	-0.0015	0.0020	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.659	-0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.663	-0.0005	-0.0005	0.9980	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2966	-1215 
0x50	06:56:12.669	-0.0005	0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2965	-1215 
0x50	06:56:12.673	-0.0005	0.0005	0.9995	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2965	-1215 
0x50	06:56:12.679	-0.0005	0.0010	1.0005	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2965	-1215 
0x50	06:56:12.683	-0.0015	0.0005	1.0010	0.0000	0.0000	0.0000	-0.0275	-0.0165	-0.0055	27.0000	-987	2965	-1215 
