StartTime: 2019-08-06 07:39:04.968
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	08:02:06.673	-0.0024	0.0010	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.673	-0.0029	0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.673	-0.0024	-0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.673	-0.0015	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.673	-0.0015	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.673	0.0000	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.673	0.0010	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.673	0.0015	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.677	0.0000	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.681	0.0000	0.0010	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.687	0.0010	0.0015	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.692	0.0010	0.0024	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.696	0.0000	0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.702	0.0010	0.0029	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9400	-1087	2836	-1305 
0x50	08:02:06.706	0.0010	0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.713	0.0000	0.0015	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9400	-1087	2836	-1305 
0x50	08:02:06.717	0.0010	-0.0020	0.9927	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.722	0.0024	-0.0029	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.740	0.0015	-0.0029	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9400	-1086	2836	-1305 
0x50	08:02:06.740	0.0015	-0.0034	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.740	0.0010	-0.0049	0.9966	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9400	-1086	2836	-1305 
0x50	08:02:06.742	0.0015	-0.0049	0.9941	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.746	0.0024	-0.0039	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9400	-1086	2836	-1305 
0x50	08:02:06.752	0.0015	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9400	-1086	2836	-1305 
0x50	08:02:06.756	0.0010	-0.0029	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.762	0.0010	-0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.766	-0.0005	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.773	0.0000	0.0024	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9400	-1086	2836	-1305 
0x50	08:02:06.777	-0.0024	0.0015	1.0034	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.782	0.0015	0.0024	1.0034	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.786	-0.0005	0.0015	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.793	0.0000	0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.797	-0.0005	0.0015	0.9976	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.801	0.0000	0.0024	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.9900	-1086	2836	-1305 
0x50	08:02:06.808	0.0000	0.0010	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.9900	-1086	2836	-1305 
0x50	08:02:06.812	-0.0024	0.0015	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.9900	-1086	2836	-1305 
0x50	08:02:06.819	-0.0015	0.0029	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.9900	-1086	2836	-1305 
0x50	08:02:06.822	-0.0024	0.0010	0.9941	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.826	-0.0044	0.0024	0.9941	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.832	-0.0029	0.0024	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1306 
0x50	08:02:06.836	-0.0054	0.0029	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1306 
0x50	08:02:06.842	-0.0059	0.0029	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1087	2836	-1306 
0x50	08:02:06.846	-0.0054	0.0024	0.9990	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.852	-0.0054	0.0015	1.0024	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.856	-0.0024	0.0000	1.0024	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.862	-0.0024	-0.0005	1.0024	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.866	-0.0005	-0.0015	1.0034	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.872	0.0024	-0.0029	1.0020	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1087	2836	-1305 
0x50	08:02:06.876	-0.0005	-0.0020	1.0024	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.882	0.0015	-0.0015	1.0005	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.886	0.0024	-0.0020	0.9976	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.893	0.0024	0.0000	1.0010	0.0000	0.0000	0.0000	0.0000	0.0055	-0.0055	25.9900	-1086	2836	-1306 
0x50	08:02:06.897	0.0024	0.0010	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1306 
0x50	08:02:06.901	0.0015	0.0024	1.0049	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1306 
0x50	08:02:06.908	0.0000	0.0029	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.912	-0.0005	0.0029	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.917	0.0010	0.0044	1.0039	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.921	0.0000	0.0029	0.9976	0.0000	0.0000	0.0000	0.0055	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.927	0.0015	0.0010	0.9995	0.0000	0.0000	0.0000	0.0055	0.0000	-0.0055	25.9900	-1086	2836	-1305 
0x50	08:02:06.931	0.0029	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0055	25.9900	-1086	2836	-1305 
