StartTime: 2020-02-03 09:10:51.759
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	11:17:49.855	0.0005	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1065	2726	-1291 
0x50	11:17:49.855	0.0005	-0.0010	1.0034	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1065	2726	-1291 
0x50	11:17:49.855	0.0024	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1066	2726	-1291 
0x50	11:17:49.855	0.0010	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1066	2726	-1291 
0x50	11:17:49.855	0.0024	-0.0020	0.9966	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1066	2726	-1291 
0x50	11:17:49.855	0.0010	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1066	2726	-1291 
0x50	11:17:49.857	0.0005	0.0015	1.0034	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1066	2726	-1291 
0x50	11:17:49.863	0.0005	0.0024	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2600	-1066	2726	-1291 
0x50	11:17:49.867	-0.0010	0.0024	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2600	-1066	2726	-1291 
0x50	11:17:49.874	-0.0024	0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1066	2726	-1291 
0x50	11:17:49.878	-0.0020	0.0029	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1065	2726	-1291 
0x50	11:17:49.882	-0.0024	0.0039	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1065	2726	-1291 
0x50	11:17:49.889	-0.0034	0.0029	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1065	2726	-1291 
0x50	11:17:49.893	-0.0039	0.0015	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1373	28.2100	-1065	2726	-1291 
0x50	11:17:49.897	-0.0034	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1318	28.2100	-1065	2726	-1291 
0x50	11:17:49.903	-0.0034	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1318	28.2100	-1065	2726	-1291 
0x50	11:17:49.922	-0.0010	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1318	28.2600	-1065	2726	-1291 
0x50	11:17:49.922	-0.0020	-0.0020	0.9985	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1318	28.2100	-1066	2726	-1291 
0x50	11:17:49.922	-0.0005	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1318	28.2100	-1066	2725	-1291 
0x50	11:17:49.923	-0.0010	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1066	2725	-1291 
0x50	11:17:49.928	-0.0024	-0.0024	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1066	2725	-1291 
0x50	11:17:49.933	-0.0005	-0.0024	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1066	2725	-1291 
0x50	11:17:49.937	-0.0010	-0.0020	0.9966	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1066	2725	-1291 
0x50	11:17:49.943	-0.0024	-0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1066	2725	-1291 
0x50	11:17:49.947	-0.0005	0.0005	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1066	2725	-1292 
0x50	11:17:49.953	-0.0020	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1065	2725	-1291 
0x50	11:17:49.957	0.0010	0.0015	1.0034	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1065	2726	-1291 
0x50	11:17:49.963	0.0005	0.0010	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1065	2726	-1291 
0x50	11:17:49.967	0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1065	2726	-1291 
0x50	11:17:49.974	0.0024	0.0010	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2600	-1065	2725	-1291 
0x50	11:17:49.978	0.0020	0.0015	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.1318	28.2100	-1065	2725	-1291 
0x50	11:17:49.982	0.0039	0.0015	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.1318	28.2100	-1065	2725	-1291 
