StartTime: 2020-02-03 09:10:51.759
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	11:26:30.233	0.0093	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1294 
0x50	11:26:30.233	0.0083	-0.0010	1.0005	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1294 
0x50	11:26:30.233	0.0083	0.0000	1.0010	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2885	-1293 
0x50	11:26:30.233	0.0068	0.0000	0.9971	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2885	-1293 
0x50	11:26:30.236	0.0083	0.0015	1.0024	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1293 
0x50	11:26:30.242	0.0083	0.0020	0.9995	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1293 
0x50	11:26:30.245	0.0083	0.0015	1.0020	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1293 
0x50	11:26:30.251	0.0078	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1293 
0x50	11:26:30.255	0.0068	0.0000	0.9995	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1293 
0x50	11:26:30.261	0.0068	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1293 
0x50	11:26:30.265	0.0083	0.0000	0.9966	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2885	-1293 
0x50	11:26:30.271	0.0068	-0.0010	1.0005	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2885	-1293 
0x50	11:26:30.276	0.0068	-0.0010	0.9980	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1293 
0x50	11:26:30.280	0.0068	0.0000	0.9980	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2885	-1293 
0x50	11:26:30.286	0.0068	0.0015	1.0020	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2885	-1293 
0x50	11:26:30.290	0.0068	0.0000	1.0005	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2885	-1293 
0x50	11:26:30.296	0.0083	0.0015	1.0010	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2886	-1293 
0x50	11:26:30.302	0.0078	0.0015	0.9985	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2886	-1293 
0x50	11:26:30.305	0.0078	0.0020	0.9995	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2886	-1293 
0x50	11:26:30.311	0.0068	0.0020	1.0024	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2886	-1293 
0x50	11:26:30.315	0.0068	0.0020	0.9985	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1600	-1164	2886	-1293 
0x50	11:26:30.322	0.0054	0.0034	1.0010	0.0000	0.0000	0.0000	-0.0110	0.0220	-0.0494	29.1100	-1164	2886	-1293 
