StartTime: 2020-01-28 10:01:49.921
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	10:19:16.314	-0.0015	-0.0005	0.9985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	26.4100	-947	2789	-1300 
0x50	10:19:16.321	0.0020	-0.0010	1.0034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	26.4100	-947	2790	-1300 
0x50	10:19:16.325	0.0010	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	26.4100	-946	2789	-1300 
0x50	10:19:16.329	0.0000	-0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	26.4100	-946	2789	-1299 
0x50	10:19:16.335	0.0010	-0.0034	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	26.4100	-946	2789	-1299 
0x50	10:19:16.339	0.0010	-0.0020	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	26.4100	-947	2789	-1300 
0x50	10:19:16.345	0.0010	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.349	0.0010	-0.0010	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.355	0.0010	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.359	-0.0005	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.365	0.0020	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.369	0.0000	0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.375	-0.0005	0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.379	0.0000	0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.385	-0.0005	0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.389	-0.0005	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2788	-1298 
0x50	10:19:16.396	0.0000	0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.400	0.0020	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.404	0.0000	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.410	-0.0005	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.414	0.0000	-0.0020	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4700	-947	2789	-1299 
0x50	10:19:16.420	0.0020	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.424	0.0024	-0.0024	0.9985	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.430	0.0010	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.434	0.0000	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.440	0.0010	-0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.444	0.0000	0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.450	-0.0005	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.455	0.0010	-0.0005	0.9985	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.459	-0.0005	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.465	0.0020	0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.469	0.0000	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.475	0.0010	0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.479	-0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.485	0.0024	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.489	0.0000	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.495	0.0010	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.513	0.0000	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.513	-0.0005	-0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.513	0.0010	-0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.515	0.0010	-0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.3600	-947	2789	-1298 
0x50	10:19:16.519	0.0000	-0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.3600	-947	2789	-1299 
0x50	10:19:16.525	-0.0020	-0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4700	-947	2789	-1299 
0x50	10:19:16.529	-0.0005	-0.0010	0.9985	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.536	-0.0005	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.540	0.0010	-0.0010	0.9985	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.3600	-947	2789	-1299 
0x50	10:19:16.544	-0.0005	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.550	-0.0005	0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.554	0.0000	0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1299 
0x50	10:19:16.560	-0.0005	0.0010	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-948	2789	-1299 
0x50	10:19:16.565	0.0010	0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-948	2789	-1298 
0x50	10:19:16.569	-0.0020	0.0010	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-948	2789	-1298 
0x50	10:19:16.575	-0.0015	0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-948	2789	-1298 
0x50	10:19:16.579	0.0000	0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-948	2789	-1299 
0x50	10:19:16.585	-0.0005	0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.589	-0.0020	0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.595	-0.0015	0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2789	-1298 
0x50	10:19:16.599	-0.0015	0.0010	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2790	-1299 
0x50	10:19:16.605	0.0000	0.0010	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2790	-1298 
0x50	10:19:16.610	-0.0005	0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2790	-1297 
0x50	10:19:16.614	0.0000	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2790	-1298 
0x50	10:19:16.620	-0.0005	-0.0005	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4700	-947	2790	-1298 
0x50	10:19:16.625	0.0010	-0.0020	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4700	-947	2790	-1298 
0x50	10:19:16.629	0.0020	-0.0020	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2790	-1298 
0x50	10:19:16.635	0.0010	-0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2790	-1298 
0x50	10:19:16.639	0.0020	-0.0024	0.9980	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2790	-1298 
0x50	10:19:16.646	0.0010	-0.0024	1.0020	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0055	26.4100	-947	2790	-1298 
