StartTime: 2019-07-31 06:03:28.986
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	06:59:23.017	0.0024	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.8400	-933	2998	-1220 
0x50	06:59:23.017	0.0010	0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.8400	-933	2998	-1220 
0x50	06:59:23.017	0.0010	0.0005	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.8400	-933	2998	-1220 
0x50	06:59:23.017	0.0015	-0.0005	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.7800	-932	2998	-1220 
0x50	06:59:23.017	0.0024	0.0020	1.0010	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.8400	-932	2998	-1220 
0x50	06:59:23.019	0.0044	0.0005	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.8400	-932	2998	-1220 
0x50	06:59:23.025	0.0044	0.0005	1.0020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.7800	-932	2998	-1221 
0x50	06:59:23.029	0.0054	0.0010	1.0024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.7800	-932	2998	-1221 
0x50	06:59:23.035	0.0015	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	26.8400	-932	2998	-1221 
0x50	06:59:23.039	0.0029	0.0010	1.0024	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.7800	-932	2998	-1221 
0x50	06:59:23.046	0.0024	-0.0010	0.9976	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-932	2998	-1221 
0x50	06:59:23.050	0.0010	-0.0005	0.9966	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.7800	-932	2998	-1221 
0x50	06:59:23.054	0.0015	0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-932	2998	-1221 
0x50	06:59:23.060	0.0024	-0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-932	2998	-1221 
0x50	06:59:23.064	0.0010	-0.0005	1.0049	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-932	2998	-1221 
0x50	06:59:23.070	-0.0005	-0.0005	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.7800	-932	2998	-1221 
0x50	06:59:23.074	-0.0005	0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.7800	-932	2998	-1221 
0x50	06:59:23.080	-0.0015	-0.0010	0.9980	0.0000	0.0000	0.0000	0.0000	-0.0055	0.0000	26.8400	-932	2998	-1220 
