StartTime: 2019-07-31 06:03:28.986
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	06:52:28.335	0.0010	-0.0010	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.335	0.0024	-0.0024	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.335	0.0024	-0.0024	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.335	0.0029	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.335	0.0029	-0.0020	0.9990	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0500	-966	2967	-1212 
0x50	06:52:28.335	0.0039	-0.0005	1.0020	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.342	0.0054	-0.0005	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.346	0.0044	-0.0005	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.352	0.0044	0.0005	1.0024	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.356	0.0024	0.0005	0.9990	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0500	-966	2967	-1212 
0x50	06:52:28.362	0.0039	0.0020	0.9990	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.366	0.0039	0.0010	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.372	0.0024	0.0020	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.376	0.0015	0.0010	1.0020	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.382	0.0024	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0500	-966	2967	-1212 
0x50	06:52:28.386	0.0015	-0.0005	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.408	0.0024	-0.0024	0.9990	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0500	-966	2967	-1211 
0x50	06:52:28.408	0.0015	-0.0020	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1211 
0x50	06:52:28.408	0.0010	-0.0024	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.408	0.0024	-0.0034	0.9990	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.411	0.0015	-0.0034	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.415	0.0015	-0.0034	1.0005	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.421	-0.0015	-0.0010	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.425	-0.0005	0.0010	1.0024	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.431	-0.0024	0.0010	0.9990	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.435	-0.0039	0.0024	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0500	-966	2967	-1212 
0x50	06:52:28.441	-0.0029	0.0039	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.445	-0.0039	0.0054	1.0020	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0500	-966	2967	-1212 
0x50	06:52:28.451	-0.0054	0.0054	1.0034	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.455	-0.0054	0.0039	1.0010	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-966	2967	-1212 
0x50	06:52:28.461	-0.0044	0.0049	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0220	27.0500	-965	2967	-1212 
0x50	06:52:28.465	-0.0029	0.0024	0.9980	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.471	-0.0044	0.0020	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.475	-0.0044	0.0005	0.9990	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.481	-0.0024	0.0005	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.485	-0.0024	-0.0010	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.491	0.0010	-0.0024	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.495	0.0010	-0.0024	1.0005	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.501	0.0000	-0.0024	1.0020	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.506	0.0010	-0.0034	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.511	0.0024	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0000	-965	2967	-1212 
0x50	06:52:28.515	0.0024	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.0055	0.0000	-0.0220	27.0500	-965	2967	-1212 
