StartTime: 2019-07-09 09:16:22.041
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	12:33:02.432	-0.0015	-0.0010	1.0005	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7900	-1060	2873	-1522 
0x50	12:33:02.432	-0.0015	0.0005	1.0015	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1522 
0x50	12:33:02.433	0.0000	-0.0005	0.9985	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1061	2873	-1522 
0x50	12:33:02.433	0.0005	0.0005	0.9976	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7900	-1061	2873	-1522 
0x50	12:33:02.433	-0.0024	0.0010	1.0000	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1061	2873	-1522 
0x50	12:33:02.436	-0.0024	0.0010	1.0015	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7900	-1060	2873	-1521 
0x50	12:33:02.443	-0.0015	0.0020	1.0015	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1522 
0x50	12:33:02.447	-0.0010	0.0010	1.0000	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1522 
0x50	12:33:02.451	-0.0024	0.0005	1.0020	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1522 
0x50	12:33:02.457	-0.0024	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1522 
0x50	12:33:02.461	-0.0010	-0.0010	0.9990	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1522 
0x50	12:33:02.467	-0.0015	-0.0005	0.9990	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1061	2873	-1522 
0x50	12:33:02.471	-0.0015	-0.0010	1.0000	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1522 
0x50	12:33:02.477	0.0000	-0.0005	1.0015	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1521 
0x50	12:33:02.482	0.0005	-0.0010	1.0000	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1522 
0x50	12:33:02.486	0.0000	-0.0020	0.9990	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7900	-1061	2873	-1522 
0x50	12:33:02.492	0.0015	-0.0005	1.0000	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7900	-1060	2873	-1521 
0x50	12:33:02.496	0.0000	-0.0005	0.9985	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1521 
0x50	12:33:02.502	0.0000	0.0005	1.0005	0.0000	0.0000	0.0000	-0.0385	0.1099	-3.9661	28.7400	-1060	2873	-1521 
