StartTime: 2019-07-12 09:29:41.400
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	09:33:16.646	-0.0107	-0.0034	0.9980	0.0000	0.0000	0.0000	-0.3241	0.2856	-3.6255	26.1000	-952	2930	-1329 
0x50	09:33:16.646	-0.0132	-0.0020	1.0020	0.0000	0.0000	0.0000	-0.3241	0.2856	-3.6255	26.1000	-952	2930	-1329 
0x50	09:33:16.646	-0.0117	-0.0049	1.0010	0.0000	0.0000	0.0000	-0.3241	0.2911	-3.6255	26.1000	-952	2930	-1329 
0x50	09:33:16.646	-0.0103	-0.0029	0.9995	0.0000	0.0000	0.0000	-0.3241	0.2911	-3.6255	26.1000	-953	2930	-1329 
0x50	09:33:16.646	-0.0122	-0.0034	0.9990	0.0000	0.0000	0.0000	-0.3241	0.2911	-3.6255	26.1000	-953	2930	-1329 
0x50	09:33:16.646	-0.0093	-0.0015	1.0005	0.0000	0.0000	0.0000	-0.3241	0.2911	-3.6255	26.1000	-953	2930	-1329 
0x50	09:33:16.646	-0.0107	-0.0020	1.0010	0.0000	0.0000	0.0000	-0.3241	0.2911	-3.6255	26.1000	-952	2930	-1329 
0x50	09:33:16.646	-0.0078	-0.0034	1.0020	0.0000	0.0000	0.0000	-0.3241	0.2911	-3.6255	26.1000	-952	2930	-1329 
0x50	09:33:16.646	-0.0093	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.3241	0.2911	-3.6255	26.1000	-952	2930	-1328 
0x50	09:33:16.646	-0.0088	-0.0020	0.9990	0.0000	0.0000	0.0000	-0.3241	0.2911	-3.6255	26.1000	-952	2930	-1328 
0x50	09:33:16.646	-0.0088	-0.0020	1.0010	0.0000	0.0000	0.0000	-0.3241	0.2856	-3.6255	26.1000	-952	2930	-1328 
0x50	09:33:16.646	-0.0093	-0.0015	1.0005	0.0000	0.0000	0.0000	-0.3241	0.2856	-3.6255	26.1000	-952	2930	-1328 
0x50	09:33:16.646	-0.0088	-0.0029	1.0005	0.0000	0.0000	0.0000	-0.3241	0.2856	-3.6255	26.1000	-952	2930	-1328 
0x50	09:33:16.652	-0.0093	0.0000	1.0010	0.0000	0.0000	0.0000	-0.3241	0.2856	-3.6255	26.1000	-952	2930	-1328 
0x50	09:33:16.657	-0.0093	-0.0005	1.0010	0.0000	0.0000	0.0000	-0.3241	0.2856	-3.6255	26.1000	-952	2930	-1328 
0x50	09:33:16.662	-0.0088	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.3241	0.2856	-3.6255	26.1000	-952	2930	-1328 
