StartTime: 2019-07-12 09:29:41.400
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	09:31:51.981	0.0005	0.0024	1.0020	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2974	-1343 
0x50	09:31:51.981	0.0020	0.0000	0.9995	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2974	-1343 
0x50	09:31:51.981	0.0005	0.0000	0.9995	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.7800	-950	2974	-1342 
0x50	09:31:51.981	-0.0010	0.0010	1.0010	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2973	-1342 
0x50	09:31:51.981	-0.0005	-0.0015	1.0005	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2973	-1342 
0x50	09:31:51.981	0.0005	0.0010	1.0010	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.7800	-950	2973	-1342 
0x50	09:31:51.981	-0.0005	0.0000	1.0020	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0010	-0.0005	1.0024	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0005	0.0000	0.9990	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0010	0.0000	0.9995	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0024	0.0015	0.9990	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0034	0.0010	1.0005	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.7800	-950	2973	-1341 
0x50	09:31:51.981	-0.0044	0.0029	0.9995	0.0000	0.0000	0.0000	-0.1703	-0.2692	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0034	0.0024	1.0010	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0024	0.0015	0.9990	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0024	0.0010	1.0005	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0762	25.8300	-950	2973	-1341 
0x50	09:31:51.981	-0.0024	0.0000	1.0010	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0762	25.8300	-951	2973	-1342 
0x50	09:31:51.981	-0.0010	0.0010	1.0010	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0762	25.8300	-951	2973	-1342 
0x50	09:31:51.981	-0.0034	0.0000	1.0010	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.7800	-951	2973	-1342 
0x50	09:31:51.981	-0.0005	-0.0020	0.9995	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.8300	-951	2973	-1342 
0x50	09:31:51.981	0.0005	-0.0015	0.9990	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.8300	-951	2973	-1342 
0x50	09:31:51.981	0.0005	-0.0029	0.9990	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.8300	-950	2973	-1342 
0x50	09:31:51.981	-0.0010	-0.0005	0.9995	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.8300	-950	2973	-1342 
0x50	09:31:51.981	0.0005	-0.0015	0.9980	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.8300	-951	2973	-1342 
0x50	09:31:51.981	0.0010	0.0000	1.0010	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.8300	-951	2973	-1342 
0x50	09:31:51.981	0.0010	0.0010	1.0020	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.8300	-951	2973	-1341 
0x50	09:31:51.981	-0.0010	0.0000	0.9995	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.8300	-951	2973	-1341 
0x50	09:31:51.981	-0.0005	0.0024	1.0010	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.7800	-951	2973	-1341 
0x50	09:31:51.981	0.0034	0.0000	0.9990	0.0000	0.0000	0.0000	-0.1703	-0.2637	-3.0817	25.7800	-951	2973	-1342 
