StartTime: 2019-07-09 09:16:22.041
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz 
0x50	11:43:37.770	0.0000	-0.0029	0.9985	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1145 
0x50	11:43:37.770	-0.0010	-0.0044	1.0005	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.6300	-1280	2515	-1145 
0x50	11:43:37.770	-0.0010	-0.0034	1.0005	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1146 
0x50	11:43:37.773	0.0000	-0.0049	0.9971	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1279	2515	-1145 
0x50	11:43:37.778	0.0005	-0.0044	1.0015	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1279	2515	-1145 
0x50	11:43:37.783	0.0015	-0.0034	1.0034	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1279	2515	-1145 
0x50	11:43:37.787	0.0005	-0.0049	1.0005	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.6300	-1279	2515	-1146 
0x50	11:43:37.794	0.0029	-0.0054	0.9985	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1279	2515	-1145 
0x50	11:43:37.798	0.0024	-0.0034	0.9985	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1279	2515	-1145 
0x50	11:43:37.802	0.0000	-0.0034	0.9990	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1145 
0x50	11:43:37.808	0.0000	-0.0044	1.0000	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.6300	-1280	2515	-1145 
0x50	11:43:37.813	-0.0015	-0.0020	1.0005	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.6300	-1279	2514	-1145 
0x50	11:43:37.817	-0.0029	-0.0020	1.0005	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1279	2514	-1145 
0x50	11:43:37.824	-0.0010	-0.0005	1.0000	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.6300	-1279	2515	-1145 
0x50	11:43:37.827	-0.0024	-0.0020	1.0015	0.0000	0.0000	0.0000	-0.3241	-0.1978	-5.1691	27.6300	-1280	2515	-1146 
0x50	11:43:37.831	-0.0010	-0.0034	0.9990	0.0000	0.0000	0.0000	-0.3241	-0.1978	-5.1691	27.5800	-1279	2515	-1145 
0x50	11:43:37.838	-0.0010	-0.0044	1.0005	0.0000	0.0000	0.0000	-0.3241	-0.1978	-5.1691	27.5800	-1279	2515	-1145 
0x50	11:43:37.843	0.0015	-0.0044	1.0005	0.0000	0.0000	0.0000	-0.3241	-0.1978	-5.1691	27.5800	-1279	2515	-1145 
0x50	11:43:37.847	0.0005	-0.0068	1.0005	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2514	-1145 
0x50	11:43:37.853	0.0005	-0.0078	0.9990	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.6300	-1280	2514	-1145 
0x50	11:43:37.857	0.0029	-0.0078	0.9976	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2514	-1145 
0x50	11:43:37.864	0.0000	-0.0068	0.9985	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1145 
0x50	11:43:37.868	0.0005	-0.0063	0.9990	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1145 
0x50	11:43:37.892	0.0024	-0.0049	0.9976	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1145 
0x50	11:43:37.892	0.0015	-0.0044	0.9990	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1145 
0x50	11:43:37.892	0.0000	-0.0034	1.0000	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1145 
0x50	11:43:37.892	-0.0015	-0.0029	1.0015	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1146 
0x50	11:43:37.893	-0.0015	-0.0020	1.0015	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1146 
0x50	11:43:37.897	-0.0010	-0.0034	1.0005	0.0000	0.0000	0.0000	-0.3296	-0.1978	-5.1691	27.5800	-1280	2515	-1146 
